city_ascii,county_name,county_fips,state_id,metfips,metarea
Masontown,Preston,54077,WV,34060,"Morgantown, WV (Metropolitan Statistical Area)"
Saltillo,Hardin,47071,TN,NA,NA
Hickory Hills,Luzerne,42079,PA,42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)"
Glen Osborne,Allegheny,42003,PA,38300,"Pittsburgh, PA (Metropolitan Statistical Area)"
Forest Ranch,Butte,06007,CA,17020,"Chico, CA (Metropolitan Statistical Area)"
Elizabethtown,Bartholomew,18005,IN,18020,"Columbus, IN (Metropolitan Statistical Area)"
North Salem,Hendricks,18063,IN,26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)"
Sand Lake,Kent,26081,MI,24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)"
LeRoy,Coffey,20031,KS,NA,NA
Pine Lakes,Lake,12069,FL,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
Elizabeth,Allen,22003,LA,NA,NA
Micro,Johnston,37101,NC,39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)"
Bonnetsville,Sampson,37163,NC,NA,NA
Mountain View,Jefferson,08059,CO,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
Courtland,Sacramento,06067,CA,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)"
Roland,Pulaski,05119,AR,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
New Meadows,Adams,16003,ID,NA,NA
Verden,Grady,40051,OK,36420,"Oklahoma City, OK (Metropolitan Statistical Area)"
Hardin,Ray,29177,MO,28140,"Kansas City, MO-KS (Metropolitan Statistical Area)"
Geneva,Freeborn,27047,MN,NA,NA
Claremont,Dodge,27039,MN,40340,"Rochester, MN (Metropolitan Statistical Area)"
Veblen,Marshall,46091,SD,NA,NA
Launiupoko,Maui,15009,HI,NA,NA
Mimbres,Grant,35017,NM,NA,NA
Bryson,Jack,48237,TX,NA,NA
